Legajo,PUNTAJE PP,PUNTAJE SP
48129134,14.0,Ausente
44984377,Ausente,Ausente
46708522,Ausente,Ausente
47781594,92.0,79.0
40941451,Ausente,Ausente
44192101,31.0,7.0
42336909,Ausente,Ausente
48720038,64.2,41.0
47473404,96.5,92.0
200561127,Ausente,Ausente
45082384,Ausente,Ausente
31901364,21.9,19.0
47317385,27.9,5.0
46038190,3.0,0.0
46378322,Ausente,Ausente
47821376,Ausente,Ausente
43924580,Ausente,Ausente
46977513,93.0,85.0
41809528,Ausente,Ausente
49587293,5.0,3.0
46587347,Ausente,Ausente
46765316,Ausente,Ausente
39971355,Ausente,Ausente
39884240,Ausente,Ausente
48285900,91.0,83.0
45085808,Ausente,Ausente
36202021,Ausente,Ausente
48717774,91.4,100.0
46067483,10.0,10.0
43811724,Ausente,Ausente
48406679,74.0,96.0
47927497,9.0,Ausente
48407085,85.8,85.0
24721768,Ausente,Ausente
46537096,48.5,Ausente
47133180,Ausente,Ausente
47304768,58.7,39.5
45691393,Ausente,6.0
46486356,57.9,38.0
47581083,Ausente,Ausente
43475086,6.9,7.0
51287616,92.5,89.0
44471278,Ausente,Ausente
48754405,2.0,0.0
48598803,Ausente,Ausente
47290521,Ausente,Ausente
47909402,2.0,0.0
45376815,Ausente,Ausente
44578667,Ausente,Ausente
44762089,65.5,56.0
44762686,4.0,10.5
47823906,87.8,Ausente
46372790,45.0,21.0
45708030,53.0,61.0
47821153,82.0,70.0
46588376,2.0,6.0
36706338,Ausente,Ausente
45243377,10.0,Ausente
43142442,Ausente,Ausente
45691147,Ausente,Ausente
45346711,Ausente,Ausente
46661709,63.0,45.5
48123994,11.0,51.5
45316897,2.0,Ausente
46065271,Ausente,Ausente
42937638,Ausente,Ausente
46554092,Ausente,Ausente
95199551,47.5,6.0
43189140,Ausente,Ausente
39543874,Ausente,Ausente
46305053,Ausente,Ausente
37875401,Ausente,Ausente
48331174,Ausente,Ausente
48093196,Ausente,Ausente
41018183,Ausente,Ausente
46510287,Ausente,Ausente
30843893,Ausente,Ausente
43504459,Ausente,Ausente
46072469,Ausente,Ausente
44805764,64.4,57.0
45156074,12.0,Ausente
48603878,85.0,54.0
48068821,14.0,5.0
54022803,Ausente,Ausente
48452681,89.0,83.0
47316931,Ausente,Ausente
48124047,53.0,32.0
48190014,Ausente,Ausente
46453232,Ausente,Ausente
47486779,74.0,74.0
47474070,12.5,4.0
32794268,Ausente,Ausente
47464764,67.0,74.0
5567715,Ausente,Ausente
43997995,Ausente,Ausente
42387580,35.0,Ausente
46844506,71.0,56.0
47465301,77.0,67.0
46587983,Ausente,Ausente
29736665,Ausente,Ausente
46886225,81.0,61.0
46973082,Ausente,Ausente
47824751,40.0,1.0
47853076,3.0,Ausente
40933455,96.0,93.0
37809329,0.0,Ausente
27466561687,Ausente,Ausente
37618554,Ausente,Ausente
44195008,81.0,64.0
47989123,Ausente,Ausente
48603448,60.0,82.0
40740054,43.0,24.0
46847671,Ausente,Ausente
47173487,Ausente,Ausente
47982753,64.4,69.0
47713640,44.0,50.0
16484302,7.0,0.0
43144200,88.0,89.0
48328096,64.0,55.0
45109337,Ausente,Ausente
46884137,39.5,63.0
47002121,20.0,35.0
45835070,27.0,Ausente
44972559,78.2,74.0
46805115,65.5,73.0
47303383,Ausente,Ausente
31433575,Ausente,Ausente
95035179,Ausente,Ausente
51710855,29.0,57.0
38883658,Ausente,Ausente
44652738,3.0,Ausente
47778579,Ausente,
48391115,Ausente,
48128418,81.4,69.0
47252158,Ausente,Ausente
48726267,Ausente,Ausente
41735562,Ausente,Ausente
43809700,Ausente,Ausente
46311414,Ausente,Ausente
43368735,Ausente,Ausente
47820177,Ausente,Ausente
40825190,17.0,Ausente
45348705,Ausente,Ausente
47972046,60.0,69.0
48465512,Ausente,Ausente
42400249,21.0,28.0
46378012,Ausente,Ausente
36252182,62.0,67.0
46223205,15.0,0.0
47475285,40.0,ausente
47909420,84.5,73.0
48328878,34.0,ausente
46765629,4.5,ausente
48329191,56.8,22.5
48537239,Ausente,ausente
43368689,Ausente,ausente
44273494,Ausente,ausente
44578407,89.0,88.0
43951974,Ausente,ausente
46971960,Ausente,ausente
47578158,Ausente,ausente
45347442,Ausente,ausente
47907128,Ausente,ausente
47578229,Ausente,ausente
42081133,Ausente,ausente
48718264,Ausente,ausente
48455465,92.0,97.5
94608737,2.0,ausente
47360408,88.5,86.0
46373561,69.7,48.5
47710471,35.5,ausente
46767116,Ausente,ausente
47983827,69.5,83.0
47710838,53.5,21.0
45933860,Ausente,ausente
47362055,6.0,"4,5"
43997855,0.0,ausente
47365732,34.5,ausente
48965502,96.5,88.0
47909136,52.3,42.5
48599109,76.7,62.0
41683802,10.0,ausente
47665072,70.7,40.0
47664840,32.0,ausente
48324936,16.5,ausente
47305775,Ausente,ausente
48325543,25.0,10.0
45932934,Ausente,ausente
48531165,72.0,72.0
22698944,Ausente,ausente
46885455,62.5,69.5
47473309,53.5,11.0
48901620,6.0,ausente
46889612,100.0,100.0
47368943,77.5,67.5
44117300,Ausente,ausente
47577929,92.0,85.0
48456351,26.5,25.51
42787379,Ausente,ausente
46466281,23.0,ausente
45246828,Ausente,ausente
47173492,7.4,ausente
43132815,Ausente,ausente
40520571,Ausente,ausente
48125190,34.0,66.0
43477266,Ausente,ausente
46225728,Ausente,ausente
45936601,0.0,ausente
47474005,36.5,29.0
43232093,Ausente,ausente
20472648633,Ausente,ausente
19140667,Ausente,ausente
45596012,61.5,32.0
41642785,99.5,97.5
47821484,25.6,6.0
47911638,Ausente,ausente
42529002,Ausente,ausente
18176973,Ausente,ausente
47907457,33.5,7.0
48068998,Ausente,Ausente
47475231,Ausente,Ausente
43561327,Ausente,Ausente
48040833,Ausente,Ausente
27439259332,1.0,Ausente
44943714,Ausente,Ausente
48326214,Ausente,Ausente
45933834,Ausente,Ausente
48717744,Ausente,Ausente
46934698,57.0,59.0
44767381,60.0,51.5
46719418,Ausente,Ausente
46675302,16.0,Ausente
48416668,60.0,68.0
41590492,Ausente,Ausente
41590492,Ausente,Ausente
48726689,69.5,59.0
46973867,Ausente,2.0
47987417,71.0,98.0
45069438,Ausente,Ausente
46506890,Ausente,Ausente
43606637,83.0,81.0
46128013,19.5,10.5
47473890,Ausente,Ausente
47668586,40.0,22.0
